v,alku,alkuT,hui,huiv,nousu
1995,88.02,76.96,96.66,43,7.55
1996,58.37,51.04,67.74,45,8.2
1997,80.3,70.21,90.27,41,8.72
1998,90.24,78.9,92.72,38,2.17
1999,88.68,77.54,90.73,44,1.79
2000,93.75,81.97,94.69,36,0.83
2001,80.07,70.01,88.37,44,7.25
2002,86.63,75.74,86.63,33,0.0
2003,67.03,58.61,73.43,40,5.6
2004,69.45,60.73,80.81,41,9.93
2005,82.27,71.93,92.05,45,8.55
2006,59.17,51.73,65.95,47,5.93
2007,93.82,82.03,93.96,39,0.13
2008,86.85,75.94,86.85,33,0.0
2009,79.11,69.17,89.24,40,8.86
2010,66.34,58.0,71.57,40,4.57
2011,77.98,68.18,88.24,44,8.97
2012,87.4,76.42,92.24,38,4.23
2013,76.94,67.28,77.91,34,0.85
2014,80.68,70.55,84.52,44,3.36
2015,84.31,73.72,92.79,40,7.42
2016,81.47,71.24,86.16,39,4.1
2017,81.45,71.22,86.58,43,4.48
2018,65.03,56.86,81.23,42,14.16
2019,75.63,66.13,82.76,38,6.24
2020,90.87,79.45,95.68,47,4.21
2021,67.86,59.33,72.43,44,4.0
2022,69.2,60.5,82.01,45,11.2
2023,78.64,68.76,86.62,41,6.97
2024,76.84,67.19,87.37,44,9.21
2025,76.55,66.94,81.57,41,4.38
2026,64.99,56.83,64.99,33,0.0
