v,sirdal,bykle,suldal,NO2_ka,osuus_%,kokonaissade
1941,189.7,169.0,73.5,144.1,57.2,259.5
1942,600.5,517.5,242.2,453.4,71.7,662.8
1943,393.2,353.4,269.6,338.7,69.2,505.9
1944,396.3,374.9,143.3,304.8,55.5,552.5
1945,286.1,257.3,153.1,232.2,65.6,364.5
1946,406.8,344.1,199.7,316.9,68.7,472.8
1947,297.2,257.2,211.1,255.2,59.0,456.6
1948,609.0,538.9,325.9,491.3,65.8,789.3
1949,498.4,460.3,330.1,429.6,73.6,592.2
1950,515.4,422.5,278.8,405.6,67.5,615.6
1951,420.8,378.3,166.9,322.0,64.7,506.4
1952,329.4,282.5,69.1,227.0,56.7,412.8
1953,599.3,540.6,329.2,489.7,76.7,666.8
1954,628.3,564.8,150.0,447.7,53.6,861.2
1955,364.4,335.5,229.4,309.8,73.2,436.0
1956,265.9,261.6,215.0,247.5,61.1,433.3
1957,555.8,451.2,241.4,416.1,71.6,614.7
1958,319.6,279.3,165.7,254.9,75.1,348.1
1959,389.8,332.0,47.1,256.3,57.6,438.5
1960,223.1,205.7,117.7,182.2,52.5,343.4
1961,606.8,528.4,290.3,475.2,75.8,625.0
1962,289.9,269.1,166.5,241.8,61.8,402.7
1963,425.6,371.3,159.8,318.9,59.4,560.1
1964,385.2,356.7,181.9,307.9,63.6,510.7
1965,372.2,355.0,350.2,359.1,79.8,459.1
1966,407.3,376.6,322.7,368.9,66.9,562.9
1967,754.2,620.0,323.5,565.9,70.4,813.4
1968,601.2,574.5,292.1,489.3,77.5,638.2
1969,446.0,372.8,195.9,338.2,52.9,681.6
1970,444.8,366.4,184.9,332.0,51.6,649.0
1971,444.4,392.1,346.5,394.3,63.0,669.3
1972,378.7,340.1,70.0,262.9,61.9,493.4
1973,310.2,293.2,155.8,253.1,53.2,515.0
1974,614.9,524.4,225.8,455.0,70.4,638.2
1975,509.3,438.2,363.4,437.0,73.8,609.1
1976,434.4,397.4,106.2,312.7,57.8,527.7
1977,620.2,525.0,222.1,455.8,69.3,684.0
1978,568.3,515.3,140.7,408.1,63.4,730.9
1979,361.3,328.2,204.4,298.0,51.0,623.5
1980,483.7,396.9,196.6,359.1,58.1,645.8
1981,572.4,495.9,278.5,448.9,58.3,776.8
1982,593.6,580.2,267.6,480.5,60.7,817.2
1983,678.3,608.0,389.0,558.4,74.6,801.8
1984,563.3,498.8,60.4,374.2,62.2,625.1
1985,357.4,299.1,275.3,310.6,80.7,397.1
1986,572.9,486.5,162.0,407.1,63.6,710.6
1987,586.5,506.9,295.7,463.0,78.3,590.5
1988,306.9,266.0,235.1,269.3,66.9,419.8
1989,482.4,406.4,143.6,344.1,74.9,472.6
1990,480.6,429.4,173.2,361.1,73.8,504.4
1991,443.6,375.1,207.6,342.1,64.1,558.2
1992,364.4,281.8,192.6,279.6,52.3,539.7
1993,141.5,161.0,71.8,124.8,61.3,201.5
1994,329.8,300.2,84.2,238.1,58.9,431.0
1995,556.8,505.7,290.7,451.1,77.0,614.4
1996,425.0,394.1,200.3,339.8,66.3,537.4
1997,404.0,361.1,206.7,323.9,73.6,454.5
1998,228.6,241.0,85.3,185.0,46.8,401.6
1999,457.3,426.0,168.3,350.5,64.5,575.8
2000,773.7,732.5,209.3,571.8,74.4,734.9
2001,484.7,420.9,303.2,402.9,71.7,582.8
2002,151.3,139.0,67.6,119.3,40.0,298.6
2003,400.6,375.6,269.7,348.6,73.5,484.7
2004,538.7,471.0,239.8,416.5,71.3,605.4
2005,539.9,469.7,405.1,471.6,77.2,632.9
2006,731.9,593.6,256.5,527.3,73.1,747.8
2007,383.5,324.6,309.0,339.0,73.2,498.7
2008,559.3,485.8,227.2,424.1,68.8,648.1
2009,545.1,448.6,224.6,406.1,69.2,601.2
2010,404.0,366.3,241.1,337.1,73.7,463.6
2011,658.3,573.6,360.4,530.8,80.8,691.5
2012,530.6,458.3,215.2,401.4,68.3,617.2
2013,451.1,383.2,180.2,338.2,69.7,513.2
2014,605.3,587.0,494.6,562.3,87.8,646.4
2015,461.0,436.6,197.3,365.0,68.7,545.8
2016,328.2,283.7,243.8,285.2,71.0,414.1
2017,611.2,517.5,328.0,485.6,69.9,721.0
2018,729.9,561.6,381.1,557.5,80.9,706.8
2019,385.9,347.7,185.4,306.3,69.3,443.9
2020,720.3,579.7,412.1,570.7,79.9,736.8
2021,565.4,431.5,339.9,445.6,78.9,588.7
2022,586.5,451.0,337.2,458.2,77.0,606.3
2023,429.2,366.2,335.6,377.0,69.9,551.8
2024,408.9,337.5,268.7,338.4,74.4,471.6
2025,589.2,451.0,404.6,481.6,82.6,589.0
