aikaleima_utc,mitattu_FI_SE1_MW,mitattu_FI_SE3_MW
2025-11-01T00:00:00.000Z,-1136.27,-1150.42
2025-11-01T00:15:00.000Z,-1106.53,-1158.67
2025-11-01T00:30:00.000Z,-1144.07,-1157.4
2025-11-01T00:45:00.000Z,-1162.82,-1143.72
2025-11-01T01:00:00.000Z,-1140.35,-1146.39
2025-11-01T01:15:00.000Z,-1118.26,-1149.77
2025-11-01T01:30:00.000Z,-1150.41,-1138.19
2025-11-01T01:45:00.000Z,-1158.2,-1139.9
2025-11-01T02:00:00.000Z,-1093.3,-1141.91
2025-11-01T02:15:00.000Z,-1038.04,-1146.43
2025-11-01T02:30:00.000Z,-1108.12,-1160.02
2025-11-01T02:45:00.000Z,-1134.41,-1161.74
2025-11-01T03:00:00.000Z,-1115.25,-1175.62
2025-11-01T03:15:00.000Z,-1091.64,-1164.56
2025-11-01T03:30:00.000Z,-1116,-1162.68
2025-11-01T03:45:00.000Z,-1046.16,-1153.75
2025-11-01T04:00:00.000Z,-1151.33,-1146.9
2025-11-01T04:15:00.000Z,-1176.45,-1151.29
2025-11-01T04:30:00.000Z,-1145.17,-1184.01
2025-11-01T04:45:00.000Z,-1080.56,-1194.15
2025-11-01T05:00:00.000Z,-1080.48,-1193.75
2025-11-01T05:15:00.000Z,-1053.6,-1181.97
2025-11-01T05:30:00.000Z,-1072.73,-1152.36
2025-11-01T05:45:00.000Z,-1062.65,-1127.74
2025-11-01T06:00:00.000Z,-1056.59,-1157.99
2025-11-01T06:15:00.000Z,-1035.07,-1159.34
2025-11-01T06:30:00.000Z,-1082.21,-1130.19
2025-11-01T06:45:00.000Z,-1143.71,-1158.5
2025-11-01T07:00:00.000Z,-1085.22,-1165.61
2025-11-01T07:15:00.000Z,-1150.42,-1172.55
2025-11-01T07:30:00.000Z,-1103.95,-1190.81
2025-11-01T07:45:00.000Z,-1127.77,-1192.44
2025-11-01T08:00:00.000Z,-1135.06,-1169.31
2025-11-01T08:15:00.000Z,-1187.3,-1185.22
2025-11-01T08:30:00.000Z,-1156.84,-1194.34
2025-11-01T08:45:00.000Z,-1134.57,-1194.4
2025-11-01T09:00:00.000Z,-1110.58,-1194.43
2025-11-01T09:15:00.000Z,-1037.13,-1194.31
2025-11-01T09:30:00.000Z,-1076.19,-1194.3
2025-11-01T09:45:00.000Z,-1202.42,-1193.17
2025-11-01T10:00:00.000Z,-1233.72,-1189.5
2025-11-01T10:15:00.000Z,-1206.43,-1194.13
2025-11-01T10:30:00.000Z,-1091.77,-1194.1
2025-11-01T10:45:00.000Z,-1023.56,-1194.25
2025-11-01T11:00:00.000Z,-1077.54,-1194.16
2025-11-01T11:15:00.000Z,-1133.41,-1194
2025-11-01T11:30:00.000Z,-1097.7,-1194
2025-11-01T11:45:00.000Z,-1129.09,-1192.89
2025-11-01T12:00:00.000Z,-1061.36,-1176.79
2025-11-01T12:15:00.000Z,-1077.71,-1181.59
2025-11-01T12:30:00.000Z,-1130.26,-1168.26
2025-11-01T12:45:00.000Z,-1249.46,-1172.33
2025-11-01T13:00:00.000Z,-1119.51,-1192.49
2025-11-01T13:15:00.000Z,-1089.35,-1194.15
2025-11-01T13:30:00.000Z,-1146.61,-1194.15
2025-11-01T13:45:00.000Z,-1217.77,-1194.21
2025-11-01T14:00:00.000Z,-1052.29,-1193.69
2025-11-01T14:15:00.000Z,-1044.85,-1193.7
2025-11-01T14:30:00.000Z,-1216.67,-1193.58
2025-11-01T14:45:00.000Z,-1234.21,-1193.72
2025-11-01T15:00:00.000Z,-1121.89,-1194.26
2025-11-01T15:15:00.000Z,-1105.24,-1193.85
2025-11-01T15:30:00.000Z,-1156.18,-1193.7
2025-11-01T15:45:00.000Z,-1120.87,-1193.7
2025-11-01T16:00:00.000Z,-1101.32,-1193.74
2025-11-01T16:15:00.000Z,-1197.29,-1193.82
2025-11-01T16:30:00.000Z,-1209.64,-1193.84
2025-11-01T16:45:00.000Z,-1026.81,-1193.85
2025-11-01T17:00:00.000Z,-1108.65,-1194.1
2025-11-01T17:15:00.000Z,-1215.55,-1194.02
2025-11-01T17:30:00.000Z,-1078.62,-1193.97
2025-11-01T17:45:00.000Z,-1091.47,-1192.39
2025-11-01T18:00:00.000Z,-1252.56,-1186.16
2025-11-01T18:15:00.000Z,-1249.8,-1194.14
2025-11-01T18:30:00.000Z,-1129.43,-1193.84
2025-11-01T18:45:00.000Z,-980.98,-1194.15
2025-11-01T19:00:00.000Z,-1145.36,-1190.91
2025-11-01T19:15:00.000Z,-1110.57,-1153.23
2025-11-01T19:30:00.000Z,-1133.34,-1164.29
2025-11-01T19:45:00.000Z,-1203.91,-1092.58
2025-11-01T20:00:00.000Z,-1241.46,-1113.19
2025-11-01T20:15:00.000Z,-1167.54,-1110.17
2025-11-01T20:30:00.000Z,-997.21,-1111.52
2025-11-01T20:45:00.000Z,-1109.33,-1002.76
2025-11-01T21:00:00.000Z,-1178.68,-934.65
2025-11-01T21:15:00.000Z,-1078.95,-792.76
2025-11-01T21:30:00.000Z,-918.44,-683.87
2025-11-01T21:45:00.000Z,-860.1,-578.54
2025-11-01T22:00:00.000Z,-1172.02,-435.05
2025-11-01T22:15:00.000Z,-1267.92,-395.17
2025-11-01T22:30:00.000Z,-985.1,-273.97
2025-11-01T22:45:00.000Z,-1043.4,-153.6
2025-11-01T23:00:00.000Z,-1029.07,98.53
2025-11-01T23:15:00.000Z,-1083.75,218.98
2025-11-01T23:30:00.000Z,-987.4,396.94
2025-11-01T23:45:00.000Z,-940.05,515.08
2025-11-02T00:00:00.000Z,-1040.53,687.67
2025-11-02T00:15:00.000Z,-1137.26,774.91
2025-11-02T00:30:00.000Z,-1093.81,805.24
2025-11-02T00:45:00.000Z,-1036.28,856.81
2025-11-02T01:00:00.000Z,-1112.7,955.66
2025-11-02T01:15:00.000Z,-1057.17,1005.52
2025-11-02T01:30:00.000Z,-1044.97,1061.38
2025-11-02T01:45:00.000Z,-1124.15,1083.05
2025-11-02T02:00:00.000Z,-916.66,994.17
2025-11-02T02:15:00.000Z,-1040.91,1059.75
2025-11-02T02:30:00.000Z,-976.58,1113.36
2025-11-02T02:45:00.000Z,-1081.22,1121.19
2025-11-02T03:00:00.000Z,-1042.15,1196.4
2025-11-02T03:15:00.000Z,-919.48,1196.4
2025-11-02T03:30:00.000Z,-931.24,1196.15
2025-11-02T03:45:00.000Z,-865.64,1196
2025-11-02T04:00:00.000Z,-894.3,1196
2025-11-02T04:15:00.000Z,-931.53,1196.18
2025-11-02T04:30:00.000Z,-915.52,1196.52
2025-11-02T04:45:00.000Z,-909.58,1196.32
2025-11-02T05:00:00.000Z,-877.27,1196.46
2025-11-02T05:15:00.000Z,-896.35,1196.26
2025-11-02T05:30:00.000Z,-800.09,1196.17
2025-11-02T05:45:00.000Z,-650.98,1195.9
2025-11-02T06:00:00.000Z,-624.53,1196.53
2025-11-02T06:15:00.000Z,-602.04,1196.24
2025-11-02T06:30:00.000Z,-473.53,1196.5
2025-11-02T06:45:00.000Z,-554.31,1196.55
2025-11-02T07:00:00.000Z,-458.58,1196.6
2025-11-02T07:15:00.000Z,-320.14,1196.39
2025-11-02T07:30:00.000Z,-301.39,1196.47
2025-11-02T07:45:00.000Z,-271.7,1196.5
2025-11-02T08:00:00.000Z,-345.63,1196.5
2025-11-02T08:15:00.000Z,-323,1196.5
2025-11-02T08:30:00.000Z,-401.98,1196.5
2025-11-02T08:45:00.000Z,-388.63,1196.5
2025-11-02T09:00:00.000Z,-336.06,1196.33
2025-11-02T09:15:00.000Z,-335.78,1196.3
2025-11-02T09:30:00.000Z,-446.82,1196.27
2025-11-02T09:45:00.000Z,-482.43,1192.82
2025-11-02T10:00:00.000Z,-497.03,1152.28
2025-11-02T10:15:00.000Z,-402.16,1189.21
2025-11-02T10:30:00.000Z,-429.21,1196.31
2025-11-02T10:45:00.000Z,-370.61,1194.11
2025-11-02T11:00:00.000Z,-482.88,1165.93
2025-11-02T11:15:00.000Z,-531.62,1188.32
2025-11-02T11:30:00.000Z,-592.43,1195.9
2025-11-02T11:45:00.000Z,-576.92,1196.09
2025-11-02T12:00:00.000Z,-649.87,1196.17
2025-11-02T12:15:00.000Z,-622.13,1171.96
2025-11-02T12:30:00.000Z,-546.71,1085.07
2025-11-02T12:45:00.000Z,-539.03,992.49
2025-11-02T13:00:00.000Z,-244.61,598.33
2025-11-02T13:15:00.000Z,-142.28,365.47
2025-11-02T13:30:00.000Z,-19.99,209.3
2025-11-02T13:45:00.000Z,-32.6,117.61
2025-11-02T14:00:00.000Z,129.31,-175.25
2025-11-02T14:15:00.000Z,107.61,-286.81
2025-11-02T14:30:00.000Z,31.55,-383.81
2025-11-02T14:45:00.000Z,-80.28,-355.67
2025-11-02T15:00:00.000Z,-303.49,-179.74
2025-11-02T15:15:00.000Z,-502.87,-67.97
2025-11-02T15:30:00.000Z,-595.62,37.97
2025-11-02T15:45:00.000Z,-627.87,94.01
2025-11-02T16:00:00.000Z,-856.87,173.76
2025-11-02T16:15:00.000Z,-1028.43,221.04
2025-11-02T16:30:00.000Z,-993.81,231.69
2025-11-02T16:45:00.000Z,-1033.78,194.66
2025-11-02T17:00:00.000Z,-1125.86,159.92
2025-11-02T17:15:00.000Z,-1020.9,90.45
2025-11-02T17:30:00.000Z,-1041.38,44.85
2025-11-02T17:45:00.000Z,-1097.27,64.41
2025-11-02T18:00:00.000Z,-1174.81,-68.28
2025-11-02T18:15:00.000Z,-1215.82,-167.08
2025-11-02T18:30:00.000Z,-1162.77,-192.87
2025-11-02T18:45:00.000Z,-1042.39,-340.08
2025-11-02T19:00:00.000Z,-975.67,-348.45
2025-11-02T19:15:00.000Z,-840.35,-449.85
2025-11-02T19:30:00.000Z,-956.46,-531.88
2025-11-02T19:45:00.000Z,-885.18,-514.31
2025-11-02T20:00:00.000Z,-1077.4,-421.04
2025-11-02T20:15:00.000Z,-1115.58,-405.83
2025-11-02T20:30:00.000Z,-1197.24,-370.4
2025-11-02T20:45:00.000Z,-1104.61,-375.91
2025-11-02T21:00:00.000Z,-1192.21,-359.44
2025-11-02T21:15:00.000Z,-1181,-347.35
2025-11-02T21:30:00.000Z,-966.45,-358.96
2025-11-02T21:45:00.000Z,-868.97,-344.38
2025-11-02T22:00:00.000Z,-1091.03,-156.49
2025-11-02T22:15:00.000Z,-1228.36,-79.51
2025-11-02T22:30:00.000Z,-1258.28,-74.6
2025-11-02T22:45:00.000Z,-988.8,-136.23
2025-11-02T23:00:00.000Z,-1071.62,-153.6
2025-11-02T23:15:00.000Z,-1075.54,-321.99
2025-11-02T23:30:00.000Z,-1102.4,-286.36
2025-11-02T23:45:00.000Z,-1142.2,-234.58
2025-11-03T00:00:00.000Z,-951.28,-180.84
2025-11-03T00:15:00.000Z,-1038.04,-86.26
2025-11-03T00:30:00.000Z,-1145.05,-10.18
2025-11-03T00:45:00.000Z,-1129.53,16.2
2025-11-03T01:00:00.000Z,-1124.1,-10.52
2025-11-03T01:15:00.000Z,-1147.37,-20
2025-11-03T01:30:00.000Z,-1185.31,-63.19
2025-11-03T01:45:00.000Z,-1187.63,-84.34
2025-11-03T02:00:00.000Z,-946.95,-303.63
